"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","教育排名","出生西元年","年齡"
21451,2018,1,1,87,10,815,8,0,5,13,0,0,3,3,3,3,3,6,2,1,5,4,4,4,0,0,5,0,NA,NA,NA,NA,NA,0,1998,19
21551,2018,3,1,89,7,807,4,4,0,6,2,3,3,4,2,3,3,2,2,6,2,4,2,4,0,0,6,0,NA,NA,NA,NA,NA,3,2000,17
21552,2018,3,2,90,10,807,4,6,0,8,2,2,3,4,2,2,1,4,3,2,4,5,3,4,0,0,3,0,NA,NA,NA,NA,NA,2,2001,16
30193,2018,2,1,83,10,830,4,0,10,12,0,0,3,2,1,3,3,1,3,3,2,4,1,4,0,0,7,0,NA,NA,NA,NA,NA,0,1994,23
31321,2018,2,2,87,3,709,7,0,8,13,0,0,4,2,2,2,1,1,2,1,2,5,3,5,0,0,6,0,NA,NA,NA,NA,NA,0,1998,19
31371,2018,2,1,84,4,802,8,0,0,8,0,0,1,1,2,1,1,2,2,2,99,9,6,0,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
31421,2018,3,2,86,1,840,8,0,7,13,0,0,1,1,1,1,1,3,3,2,3,4,2,2,0,0,6,0,NA,NA,NA,NA,NA,0,1997,21
41131,2018,2,2,85,6,807,8,0,6,13,0,0,3,3,2,3,3,3,3,3,2,4,2,4,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
41132,2018,1,2,86,7,807,8,0,7,12,0,0,3,3,1,3,3,3,2,2,2,5,2,5,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
41151,2018,3,1,88,9,807,4,4,0,5,3,2,2,1,1,1,1,1,1,6,2,5,2,5,0,0,3,0,NA,NA,NA,NA,NA,3,1999,18
41271,2018,2,2,88,12,807,8,5,0,8,2,1,4,2,3,3,3,3,2,2,2,3,2,2,0,0,6,0,NA,NA,NA,NA,NA,3,1999,18
41331,2018,2,2,86,10,807,7,0,10,13,0,0,2,2,3,3,2,1,1,2,4,4,2,4,0,0,6,0,NA,NA,NA,NA,NA,0,1997,20
41441,2018,2,1,84,5,807,8,0,0,12,0,0,1,2,1,2,1,2,2,2,1,4,1,2,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
41451,2018,2,2,89,8,807,8,4,0,5,2,1,4,3,2,3,4,3,2,6,4,5,2,3,0,0,5,0,NA,NA,NA,NA,NA,2,2000,17
41521,2018,2,2,88,10,802,4,3,0,5,3,2,4,3,3,3,3,3,3,3,3,5,3,4,0,0,3,0,NA,NA,NA,NA,NA,2,1999,18
41522,2018,2,1,90,9,802,4,3,0,5,2,2,0,3,1,3,2,2,3,0,4,5,3,4,0,0,5,0,NA,NA,NA,NA,NA,1,2001,16
41561,2018,2,2,84,3,807,8,0,0,13,0,0,2,2,1,3,2,2,2,2,2,4,2,3,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
41562,2018,2,1,86,10,807,4,0,7,13,0,0,3,2,2,2,2,2,3,2,2,5,2,4,0,0,4,0,NA,NA,NA,NA,NA,0,1997,20
41591,2018,2,1,84,12,807,8,0,10,12,0,0,3,3,2,3,3,1,3,3,1,2,1,2,0,0,7,0,NA,NA,NA,NA,NA,0,1995,22
41592,2018,2,1,87,8,807,8,10,0,9,2,2,4,3,1,3,4,1,4,3,1,3,1,2,0,0,7,0,NA,NA,NA,NA,NA,2,1998,19
1010133,2018,2,2,85,9,407,8,0,3,13,0,0,3,3,1,3,2,1,1,4,3,5,3,2,0,0,7,0,NA,NA,NA,NA,NA,0,1996,21
1010243,2018,3,2,83,9,247,7,0,0,6,0,0,2,1,1,2,1,1,1,1,4,4,5,4,0,0,4,0,NA,NA,NA,NA,NA,0,1994,23
1010252,2018,3,2,85,3,600,4,0,5,13,0,0,2,2,1,1,1,1,1,1,3,4,3,4,0,0,4,0,NA,NA,NA,NA,NA,0,1996,22
1010302,2018,2,1,84,4,103,1,0,0,12,0,0,3,3,2,3,2,2,3,2,3,5,3,5,0,0,4,0,NA,NA,NA,NA,NA,0,1995,22
1011171,2018,2,2,90,10,247,8,8,0,8,3,1,4,3,1,2,1,4,1,3,1,5,1,1,0,0,6,0,NA,NA,NA,NA,NA,2,2001,16
1011261,2018,2,2,84,1,247,8,0,0,12,0,0,2,2,2,3,1,2,1,2,3,4,3,3,0,0,6,0,NA,NA,NA,NA,NA,0,1995,23
1011262,2018,2,2,86,7,247,8,0,7,12,0,0,2,2,2,2,1,2,2,2,4,4,3,3,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
1011461,2018,3,1,84,1,247,8,0,5,13,0,0,2,2,1,1,2,1,2,3,3,5,3,4,0,0,4,0,NA,NA,NA,NA,NA,0,1995,23
1011462,2018,2,1,86,11,247,8,0,0,13,0,0,2,2,2,2,2,2,3,3,3,5,3,5,0,0,4,0,NA,NA,NA,NA,NA,0,1997,20
1011541,2018,3,2,86,7,247,8,0,10,13,0,0,2,2,2,2,2,2,2,2,3,5,3,3,0,0,6,0,NA,NA,NA,NA,NA,0,1997,20
