"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","教育排名_2018_2020","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","高等教育排名_2022","大學教育排名_2022"
41271,2018,2,2,88,12,807,8,5,0,8,3,2,1,4,2,3,3,3,3,2,2,2,3,2,2,0,0,6,7,NA,NA,NA,NA,NA,NA,NA
41331,2018,2,2,86,10,807,7,0,10,13,0,0,0,2,2,3,3,2,1,1,2,4,4,2,4,0,0,6,7,NA,NA,NA,NA,NA,NA,NA
41441,2018,2,1,84,5,807,8,0,0,12,0,0,0,1,2,1,2,1,2,2,2,1,4,1,2,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41451,2018,2,2,89,8,807,8,4,0,5,2,2,1,4,3,2,3,4,3,2,6,4,5,2,3,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41521,2018,2,2,88,10,802,4,3,0,5,2,3,2,4,3,3,3,3,3,3,3,3,5,3,4,0,0,3,4,NA,NA,NA,NA,NA,NA,NA
41522,2018,2,1,90,9,802,4,3,0,5,1,2,2,0,3,1,3,2,2,3,0,4,5,3,4,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41561,2018,2,2,84,3,807,8,0,0,13,0,0,0,2,2,1,3,2,2,2,2,2,4,2,3,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
41562,2018,2,1,86,10,807,4,0,7,13,0,0,0,3,2,2,2,2,2,3,2,2,5,2,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA
41591,2018,2,1,84,12,807,8,0,10,12,0,0,0,3,3,2,3,3,1,3,3,1,2,1,2,0,0,7,7,NA,NA,NA,NA,NA,NA,NA
41592,2018,2,1,87,8,807,8,10,0,9,2,2,2,4,3,1,3,4,1,4,3,1,3,1,2,0,0,7,7,NA,NA,NA,NA,NA,NA,NA
1010133,2018,2,2,85,9,407,8,0,3,13,0,0,0,3,3,1,3,2,1,1,4,3,5,3,2,0,0,7,6,NA,NA,NA,NA,NA,NA,NA
1010243,2018,3,2,83,9,247,7,0,0,6,0,0,0,2,1,1,2,1,1,1,1,4,4,5,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA
1010252,2018,3,2,85,3,600,4,0,5,13,0,0,0,2,2,1,1,1,1,1,1,3,4,3,4,0,0,4,5,NA,NA,NA,NA,NA,NA,NA
1010302,2018,2,1,84,4,103,1,0,0,12,0,0,0,3,3,2,3,2,2,3,2,3,5,3,5,0,0,4,4,NA,NA,NA,NA,NA,NA,NA
1011171,2018,2,2,90,10,247,8,8,0,8,2,3,1,4,3,1,2,1,4,1,3,1,5,1,1,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
1011261,2018,2,2,84,1,247,8,0,0,12,0,0,0,2,2,2,3,1,2,1,2,3,4,3,3,0,0,6,7,NA,NA,NA,NA,NA,NA,NA
1011262,2018,2,2,86,7,247,8,0,7,12,0,0,0,2,2,2,2,1,2,2,2,4,4,3,3,0,0,5,5,NA,NA,NA,NA,NA,NA,NA
1011461,2018,3,1,84,1,247,8,0,5,13,0,0,0,2,2,1,1,2,1,2,3,3,5,3,4,0,0,4,4,NA,NA,NA,NA,NA,NA,NA
1011462,2018,2,1,86,11,247,8,0,0,13,0,0,0,2,2,2,2,2,2,3,3,3,5,3,5,0,0,4,3,NA,NA,NA,NA,NA,NA,NA
1011541,2018,3,2,86,7,247,8,0,10,13,0,0,0,2,2,2,2,2,2,2,2,3,5,3,3,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
1011542,2018,3,2,88,8,247,8,0,6,13,0,0,0,3,3,2,1,1,2,2,3,2,5,3,3,0,0,5,6,NA,NA,NA,NA,NA,NA,NA
1020202,2018,2,2,84,9,247,7,0,6,12,0,0,0,4,4,2,3,3,4,3,2,2,4,4,4,0,0,5,3,NA,NA,NA,NA,NA,NA,NA
1020253,2018,2,1,84,8,247,7,0,0,12,0,0,0,3,3,3,3,3,4,4,3,2,2,2,2,0,0,6,6,NA,NA,NA,NA,NA,NA,NA
1030063,2018,3,1,86,10,304,4,0,7,12,0,0,0,3,3,2,2,2,2,2,2,1,5,3,2,0,0,7,7,NA,NA,NA,NA,NA,NA,NA
1030412,2018,2,2,83,10,304,4,0,0,12,0,0,0,4,3,2,2,1,2,2,3,1,5,1,5,0,0,3,4,NA,NA,NA,NA,NA,NA,NA
