respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
2011451,2018,2,1,86,8,730,4,8,NA,NA,3,2,3,3,3,3,1,2,1,5,1,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA
2011452,2018,2,1,89,5,730,4,8,2,1,3,3,3,3,3,3,3,3,1,5,2,4,5,6,NA,NA,NA,NA,NA,1,10,5
2011462,2018,2,1,83,10,552,7,12,NA,NA,2,1,2,3,1,1,1,1,4,5,3,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA
2110162,2018,3,1,83,5,807,2,12,NA,NA,2,1,1,2,1,2,2,2,3,3,2,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA
2203581,2018,2,1,90,5,220,7,5,2,1,3,3,1,2,3,1,3,1,2,3,2,4,6,6,NA,NA,NA,NA,NA,1,3,2
2273341,2018,3,2,89,10,227,2,8,2,1,1,1,1,1,1,1,1,1,3,5,1,3,6,6,NA,NA,NA,NA,NA,2,6,3
2273391,2018,3,2,88,3,204,7,12,NA,NA,4,3,2,3,2,4,2,2,3,1,3,1,5,5,NA,NA,NA,NA,NA,NA,10,5
2273392,2018,3,2,90,4,204,7,8,1,1,3,3,2,3,3,4,3,1,1,4,1,4,7,7,NA,NA,NA,NA,NA,1,4,2
2382211,2018,3,1,86,7,333,7,6,NA,NA,4,3,2,3,2,3,2,2,1,3,1,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA
2382212,2018,NA,2,87,6,333,7,12,NA,NA,3,2,1,3,1,3,1,1,1,5,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA
2382213,2018,NA,2,87,6,333,7,12,NA,NA,3,1,1,3,1,1,1,2,1,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA
3010083,2018,2,1,84,3,242,8,14,NA,NA,1,2,1,1,2,2,2,2,3,4,2,3,5,4,NA,NA,NA,NA,NA,NA,8,4
3010141,2018,3,2,83,9,247,7,9,NA,NA,2,3,1,2,1,2,2,2,3,5,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA
3010151,2018,2,2,85,9,242,7,12,NA,NA,3,3,2,3,1,2,1,1,NA,5,3,4,4,4,NA,NA,NA,NA,NA,NA,10,5
